ds,yhat,yhat_lower,yhat_upper
2009-12-01,56635.924006225236,41672.30518708405,73053.94575249689
2009-12-02,54179.08558164741,37563.019735902184,70561.9930902695
2009-12-03,61297.037032822394,44697.444511496695,78151.56645740519
2009-12-04,51308.95349996847,35540.164371766514,68261.59110988867
2009-12-05,9868.929403476566,-6912.925702580169,25105.12825451598
2009-12-06,40645.538443464444,25384.80275280872,57054.62242287909
2009-12-07,51124.717132268765,35516.69778652906,67021.90349743223
2009-12-08,52616.25983074216,35750.6176731025,68626.46812754721
2009-12-09,48487.59940497504,32567.289002230715,64694.363985426535
2009-12-10,53927.877878523585,38186.4805966339,68952.04922238507
2009-12-11,42291.453295484374,26985.02290072759,57831.40312608663
2009-12-13,28561.089351354283,12409.843706419048,46036.79053825881
2009-12-14,37690.35075323672,21502.04384167876,53334.92908784847
2009-12-15,37996.921607254204,22088.702479153697,53111.31212616563
2009-12-16,32876.48762714393,16326.471608091573,48055.98358455477
2009-12-17,37542.57853478444,21051.718798412534,54291.31055948808
2009-12-18,25369.40714351099,9624.965840760276,41476.9739729736
2009-12-20,11331.396858693957,-4220.059578135242,27165.679056576217
2009-12-21,20702.40886474759,4858.691675401575,37758.19076923808
2009-12-22,21513.024391442956,6982.056773452908,38381.063024916824
2009-12-23,17150.39791360631,1750.7672358404361,33810.007764450354
2010-01-04,15539.33740575819,342.2857040004241,31855.915622171982
2010-01-05,19556.996780174828,4366.973576766097,36189.24963844934
2010-01-06,18267.822042208703,2350.535327816989,34322.390609476635
2010-01-07,26809.24126522818,11935.457348965962,42408.40863766157
2010-01-08,18478.96985897962,2992.7266996674525,34480.07997107085
2010-01-10,11732.224153055142,-4718.564397322805,27008.97416354146
2010-01-11,24412.534972962236,8827.241595700432,41093.54990545239
2010-01-12,28225.11852812898,13416.461586303489,43806.73928863654
2010-01-13,26504.165610075746,10064.266277287741,42050.263917646254
2010-01-14,34404.85718898224,18787.41203448968,49284.72866598578
2010-01-15,25247.47046605531,7988.764678493183,40909.4499667615
2010-01-17,16397.70941135647,1059.077153015905,31927.03985544436
2010-01-18,27865.0792872112,12580.063710324679,44035.52079324151
2010-01-19,30402.552303094566,14686.324309848433,45928.96755820245
2010-01-20,27379.66263175749,10233.376985736713,43453.16455953785
2010-01-21,33986.82745605288,18550.56880302893,49915.4577695491
2010-01-22,23578.539638555038,7583.18312744747,40519.13554651643
2010-01-24,12481.423137026377,-2816.017182622866,27643.37310916942
2010-01-25,23008.11803596226,7941.980243924292,38548.54174423719
2010-01-26,24757.73961715257,8743.057104060395,40882.40860180452
2010-01-27,21117.338108501986,5755.567253420967,37055.45605586556
2010-01-28,27289.88240516217,11551.309405221398,44421.12444273698
2010-01-29,16637.210225821098,1002.5453196870325,33644.55299271978
2010-01-31,5624.934694790072,-10313.90153320399,20835.784388336913
2010-02-01,16469.350153963827,-509.00126839080036,33211.66037371133
2010-02-02,18704.4333737302,2239.003686145697,35097.24514882494
2010-02-03,15699.910841769772,270.31918671097355,30939.4159507945
2010-02-04,22637.69488292567,6936.031650547348,38069.51705844027
2010-02-05,12855.488661488753,-4779.8072749241055,29022.341945912747
2010-02-07,3792.3262487854336,-12502.43467447853,20194.947795991025
2010-02-08,15658.54043491321,-818.3547475458673,31840.441058954144
2010-02-09,18908.587316227036,1926.81765950076,34022.87535853491
2010-02-10,16884.33996627954,1165.052700729004,32528.209623181705
2010-02-11,24741.50218765452,9154.524276689548,40933.567277593094
2010-02-12,15793.92297136584,370.16207149336,31703.90321183362
2010-02-14,8065.80814314397,-8155.736712139078,23203.695392285186
2010-02-15,20401.697530892197,2768.038619522074,36293.21942155844
2010-02-16,23975.911920512735,7979.581001848092,41119.32378186077
2010-02-17,22123.582172884406,4755.394053403327,37875.210739266084
2010-02-18,30002.227453245046,13964.009122468779,45997.00759467057
2010-02-19,20929.881864432045,4588.9554213707215,36061.28793432463
2010-02-21,12550.896710246787,-2859.0171382520343,29144.29895491599
2010-02-22,24388.639798849774,10373.160544629345,40857.258430068294
2010-02-23,27373.414620499592,10869.245680601201,42820.53721495023
2010-02-24,24863.313330185705,9928.905072901878,40995.18473702219
2010-02-25,32036.393413365447,15372.425225656933,48778.2641733961
2010-02-26,22234.210601892042,5121.9008236998525,38203.8374134162
2010-02-28,12417.248538094427,-2908.9739169870536,29335.69746025499
2010-03-01,23592.200191838398,7764.113050304227,39645.995707030124
2010-03-02,25979.270248878136,9638.094943304377,42430.22028868759
2010-03-03,22954.402574900996,6731.260143915276,38660.51191820239
2010-03-04,29710.59338178006,13796.487738519863,44825.17091469554
