ds,yhat,yhat_lower,yhat_upper
2011-12-10,6371.4375581721215,-9909.581796012928,22609.809944159577
2011-12-11,36087.5663945867,20288.378281052588,52096.32995393469
2011-12-12,45565.87325380642,29976.350888022505,62088.36381658925
2011-12-13,46138.760846779966,30216.81860657898,62996.02723289329
2011-12-14,41194.9103358969,24623.406760513048,57006.79765373733
2011-12-15,45942.79338906053,30037.87328675449,61998.25379676427
2011-12-16,33753.66233854571,17932.00168098724,48987.99155328419
2011-12-17,-9668.827245462384,-24717.391192428346,6549.413284257332
2011-12-18,19389.65909434025,2461.913094452977,35569.01126957993
2011-12-19,28455.812346648607,11540.42099447579,44436.24454259549
2011-12-20,28874.08086276864,12825.37637663797,45065.08398456806
2011-12-21,24039.498976960796,7194.22997069655,39834.361277846016
2011-12-22,29160.97468175715,11634.91853348948,44700.00499902051
2011-12-23,17604.20509665314,1149.830835062233,33358.685678928465
2011-12-24,-24938.622795493076,-41288.95485123907,-7570.3671331593505
2011-12-25,5229.673557072627,-11172.559621010329,20993.57879035603
2011-12-26,15613.326805499131,-854.0136788865939,31491.394620137835
2011-12-27,17529.535184637243,617.162882638242,35191.682665104025
2011-12-28,14341.93073984342,-3809.805814499319,29594.48730704696
2011-12-29,21224.615316522744,4403.452939753139,38042.273081440944
2011-12-30,11505.91382329808,-2454.2004302653627,27212.118178201712
2011-12-31,-29161.01946499676,-44902.17777507965,-13410.45267607713
2012-01-01,2881.254550444799,-13073.90871026856,18919.879555233103
2012-01-02,15097.4834225532,-1584.5820299525144,30721.708186322197
2012-01-03,18766.60168650637,3428.020029022834,35878.875226136646
2012-01-04,17216.130793031352,1336.461851746382,33738.48142084168
2012-01-05,25587.09100309763,9054.913258178656,41459.03401896266
2012-01-06,17178.551771662937,530.165090562849,32691.330116165933
2012-01-07,-22381.064480378773,-40080.91119445399,-7503.221926344637
2012-01-08,10546.052722170203,-6243.246243038169,27217.20394606745
2012-01-09,23410.572324039666,7945.58676255543,39662.93005292977
2012-01-10,27483.202789253257,10304.047635499724,43878.1687834183
2012-01-11,26089.24276953036,9551.245484281706,42867.11791277015
2012-01-12,34373.488521248706,17907.192161294897,49483.52062602679
2012-01-13,25644.625361285613,9082.048672700055,41401.37155068579
2012-01-14,-14453.77702564625,-30984.884247544847,1781.6456290253157
2012-01-15,17736.321429747873,2468.086692737369,34233.41262367619
